county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,211,114,52,17,0,0,26,13,108,10829,23762,57,64,9326,763,"44,801",6,2389,1,,,
ANNE ARUNDEL,2372,1429,431,193,2,4,321,80,"1,031",173167,130362,505,314,109566,6782,"420,696",287,27520,1,,,
BALTIMORE CITY,3104,2057,378,63,3,6,145,62,657,300088,30188,825,548,69420,6800,"407,869",26,16542,1,,,
BALTIMORE CO.,3966,2270,570,202,3,3,281,118,"1,177",308070,141386,792,541,125953,10139,"586,881",403,20071,1,,,
CALVERT,274,212,63,30,0,0,38,15,146,23394,29016,69,46,17280,1139,"70,944",64,3462,1,,,
CAROLINE,138,56,21,6,0,0,13,10,50,5966,11307,33,29,5174,371,"22,880",1,999,1,,,
CARROLL,664,377,91,82,2,1,78,27,281,33120,64614,148,78,31687,2067,"131,714",75,5749,1,,,
CECIL,305,213,72,40,0,0,43,14,169,18880,36065,82,94,17908,1311,"74,340",52,4262,1,,,
CHARLES,618,400,113,37,1,1,41,22,215,77052,23711,135,120,26861,1660,"129,539",15,6771,1,,,
DORCHESTER,161,75,25,8,0,0,11,4,48,9474,9721,20,30,4543,384,"24,172",55,815,1,,,
FREDERICK,1500,699,219,96,0,3,124,41,483,78897,69356,268,154,56684,2870,"208,229",1321,12973,1,,,
GARRETT,106,69,15,13,0,0,12,2,42,3419,14112,18,14,3276,295,"21,134",94,891,1,,,
HARFORD,1301,622,198,77,2,0,122,41,440,64559,82635,187,174,47357,3392,"198,304",1180,9564,1,,,
HOWARD,1418,729,247,91,1,0,131,45,515,123193,48551,330,105,66530,3448,"242,157",275,10846,1,,,
KENT,64,37,12,5,0,0,10,2,29,5658,5567,15,14,2942,211,"14,407",24,574,1,,,
MONTGOMERY,3587,3295,853,264,4,2,383,149,"1,655",406497,101619,1023,358,184871,9679,"704,047",1054,50488,1,,,
PR. GEORGE'S,3684,2651,671,131,6,1,258,109,"1,176",459965,42480,789,513,109903,14222,"627,872",7627,48930,1,,,
QUEEN ANNE'S,231,121,28,23,1,0,26,5,83,11373,21043,48,31,9430,619,"42,544",5,1171,1,,,
ST. MARY'S,498,262,72,44,1,1,45,17,180,24945,33643,77,64,19057,1261,"79,047",58,5421,1,,,
SOMERSET,73,37,18,4,0,0,7,3,32,5341,6384,16,20,2694,236,"14,691",4,436,1,,,
TALBOT,177,85,19,12,1,0,12,10,54,10427,11714,21,12,6194,438,"28,806",26,2443,1,,,
WASHINGTON,547,337,106,52,1,0,83,26,268,30611,45432,147,118,25422,1659,"103,389",280,7614,1,,,
WICOMICO,389,181,57,23,1,0,35,14,130,26102,24747,80,91,15963,1271,"68,254",31,3503,1,,,
WORCESTER,292,116,35,19,0,1,27,8,90,13547,20297,47,27,9586,797,"44,301",44,2904,1,,,
TOTAL,"25,680","16,444","4,366","1,532",29,23,"2,272",837,"9,059","2,224,574","1,027,712","5,732","3,559","977,627","71,814","4,311,018","13,007","246,338",1,,,
,,REP,,GRN,WCP,UNA,OTH,TOTAL,DUPS,,DEM,REP,GRN,WCP,UNA,OTH,,TOTAL,2,,DEM,
,,1,,0,0,1,0,7,4,,0,0,0,0,0,0,,0,2,ABSENTEE BALLOT (FPCA),5,BOARD ACTION
,,72,,6,0,109,6,428,276,,10,6,0,0,0,1,,17,2,BY MAIL,235,CONFIRMATION MAIL
,,48,,1,0,166,33,452,70,,4188,1565,14,7,1954,143,,"7,871",2,DESIGNATED STATE AGENCIES,204,COUNTY TRANSFER - OUT
,,31,,2,2,60,4,200,2,,13,2,0,0,11,1,,27,2,ELDERLY / DISABLED / SOC SEC,101,CRIMINAL CONVICTION
,,133,,0,0,158,11,548,0,,2088,1010,2,2,448,48,,"3,598",2,ERIC REPORT,246,DEATH NOTICE
,,0,,0,0,0,0,0,0,,22,5,0,0,10,0,,37,2,FROM ANOTHER BOARD,0,DUPLICATE
,,1,,0,0,0,0,2,0,,9589,4751,33,12,5803,405,,"20,593",2,PROVISIONAL BALLOT,1,MAIL VERIFICATION (NVRA)
,,4,,0,1,11,4,61,8,,0,1,0,0,0,0,,1,2,IN PERSON,41,MENTAL INCOMPETENCY
,,3132,,62,88,7043,298,"19,324",602,,452,371,1,0,260,13,,"1,097",2,MOTOR VEHICLE ADMINISTRATION,8701,MOVED OUT OF STATE
,,4,,0,0,4,0,17,4,,27,7,0,0,26,3,,63,2,NVRA BY MAIL,9,OTHER
,,130,,3,1,236,5,757,1,,104,55,0,0,59,6,,224,2,ONLINE REGISTRATION,382,VOTER REQUEST
,,8,,0,1,17,2,86,37,,,,,,,,,,2,OTHER MEANS,58,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,RECRUITING,0,
,,0,,0,0,1,0,1,0,,,,,,,,,,2,SAME DAY REGISTRATION,0,
,,0,,0,0,0,0,0,1,,,,,,,,,,2,SOCIAL SERVICES,0,
,,9,,1,0,28,1,71,24,,,,,,,,,,2,VOLUNTEER,32,
,,"3,573",,75,93,"7,834",364,"21,954","1,029",,"16,493","7,773",50,21,"8,571",620,,"33,528",2,TOTAL,"10,015",TOTAL
