county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,NLM,LIB,UNAF,OTH,TOTAL,DEM,REP,NLM,LIB,UNAF,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,46,28,4,6,0,0,5,0,15,10957,22760,21,265,8992,572,"43,567",539,3492,1,,,
ANNE ARUNDEL,452,717,45,21,0,1,94,5,166,173325,129487,200,2509,105156,4326,"415,003",7000,33453,1,,,
BALTIMORE CITY,1280,787,49,10,7,1,42,8,117,296923,28556,199,1198,62599,5912,"395,387",6570,25533,1,,,
BALTIMORE CO.,905,1663,167,61,7,17,"1,047",98,"1,397",307367,137983,231,2681,116792,7761,"572,815",4103,32942,1,,,
CALVERT,57,175,15,14,0,2,70,8,109,23555,28185,39,462,16353,728,"69,322",0,5570,1,,,
CAROLINE,22,18,7,4,0,0,30,4,45,6065,10745,9,127,4847,259,"22,052",264,1445,1,,,
CARROLL,129,159,51,36,4,9,195,9,304,33316,63898,49,841,29993,1326,"129,423",1187,7043,1,,,
CECIL,77,113,3,0,0,0,3,0,6,19134,34648,37,491,17353,926,"72,589",0,5626,1,,,
CHARLES,120,170,10,1,0,0,10,0,21,75082,23093,47,442,24413,1211,"124,288",915,10053,1,,,
DORCHESTER,20,38,1,0,0,1,13,0,15,9511,9278,8,113,4215,260,"23,385",351,1060,1,,,
FREDERICK,214,263,29,14,0,1,77,7,128,77906,68198,101,1256,52867,1731,"202,059",1286,15016,1,,,
GARRETT,29,13,13,4,0,1,26,4,48,3522,13804,6,109,3087,205,"20,733",108,1235,1,,,
HARFORD,182,616,58,30,0,6,178,26,298,64524,80880,83,1273,44543,2238,"193,541",1587,12708,1,,,
HOWARD,244,766,92,39,3,3,431,25,593,122073,48463,105,974,61318,2469,"235,402",2778,14929,1,,,
KENT,11,13,3,0,0,0,0,1,4,5758,5307,3,71,2779,144,"14,062",350,840,1,,,
MONTGOMERY,834,4364,55,14,0,0,45,3,117,407995,98486,299,2415,171413,7205,"687,813",1,65337,1,,,
PR. GEORGE'S,635,809,67,8,1,0,36,6,118,455152,38819,275,1552,98090,12534,"606,422",0,42275,1,,,
QUEEN ANNE'S,34,25,2,1,0,0,0,0,3,11077,20094,16,237,8886,391,"40,701",221,2150,1,,,
ST. MARY'S,40,47,1,3,0,0,1,2,7,24912,32142,41,502,17985,845,"76,427",47,7777,1,,,
SOMERSET,11,4,1,0,0,0,1,1,3,5424,6163,6,70,2526,168,"14,357",98,534,1,,,
TALBOT,21,23,0,2,0,0,6,0,8,10615,11673,12,166,6034,275,"28,775",336,1696,1,,,
WASHINGTON,71,374,35,19,0,1,94,9,158,30920,44448,30,661,23779,1186,"101,024",1859,10909,1,,,
WICOMICO,24,26,3,2,0,0,6,1,12,26169,24020,25,364,14807,910,"66,295",987,4689,1,,,
WORCESTER,56,22,3,6,0,2,5,0,16,13633,19538,16,239,9072,564,"43,062",484,3005,1,,,
TOTAL,"5,514","11,233",714,295,22,45,"2,415",217,"3,708","2,214,915","1,000,668","1,858","19,018","907,899","54,146","4,198,504","31,071","309,317",1,,,
,,REP,,NLM,LIB,UNAF,OTH,TOTAL,DUPS,,DEM,REP,NLM,LIB,UNAF,OTH,,TOTAL,2,,DEM,
,,15,,0,0,17,2,101,26,,2,1,0,0,0,0,,3,2,ABSENTEE BALLOT (FPCA),67,BOARD ACTION
,,33,,0,0,23,1,109,169,,0,0,0,0,0,0,,0,2,BY MAIL,52,CONFIRMATION MAIL
,,0,,0,0,0,0,3,11,,977,193,0,1,156,14,,"1,341",2,DESIGNATED STATE AGENCIES,3,COUNTY TRANSFER - OUT
,,14,,1,1,15,1,116,2,,11,3,0,0,5,0,,19,2,ELDERLY / DISABLED / SOC SEC,84,CRIMINAL CONVICTION
,,0,,0,0,0,0,2,1,,"1,759",910,0,4,388,39,,"3,100",2,ERIC REPORT,2,DEATH NOTICE
,,0,,0,0,0,0,0,0,,10,5,0,0,2,0,,17,2,FROM ANOTHER BOARD,0,DUPLICATE
,,368,,2,3,191,10,"2,217","1,247",,0,0,0,0,0,0,,0,2,PROVISIONAL BALLOT,1643,MAIL VERIFICATION (NVRA)
,,6,,0,0,3,0,21,4,,0,0,0,0,0,0,,0,2,IN PERSON,12,MENTAL INCOMPETENCY
,,39,,658,1,30,2,819,13,,111,93,0,3,65,2,,274,2,MOTOR VEHICLE ADMINISTRATION,89,MOVED OUT OF STATE
,,3,,0,0,0,0,3,0,,58,12,0,1,40,7,,118,2,NVRA BY MAIL,0,OTHER
,,14,,2,0,20,3,115,0,,67,32,1,0,24,1,,125,2,ONLINE REGISTRATION,76,VOTER REQUEST
,,11,,1,0,20,2,77,35,,,,,,,,,,2,OTHER MEANS,43,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,RECRUITING,0,
,,325,,1,0,107,10,"1,417",113,,,,,,,,,,2,SAME DAY REGISTRATION,974,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,SOCIAL SERVICES,0,
,,1,,0,0,0,0,1,0,,,,,,,,,,2,VOLUNTEER,0,
,,829,,665,5,426,31,"5,001","1,621",,"2,995","1,249",1,9,680,63,,"4,997",2,TOTAL,"3,045",TOTAL
