county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,181,123,35,12,0,0,25,9,81,10816,23788,58,70,9376,762,"44,870",33,2385,1,,,
ANNE ARUNDEL,2082,1328,382,171,1,3,186,70,813,173169,130448,515,330,110190,6806,"421,458",808,27387,1,,,
BALTIMORE CITY,3251,1798,343,63,3,5,132,91,637,299951,30218,838,581,69975,6811,"408,374",364,16342,1,,,
BALTIMORE CO.,3151,2296,532,194,5,7,208,132,"1,078",307758,141260,802,565,126519,10137,"587,041",1165,20350,1,,,
CALVERT,283,224,72,30,0,0,34,10,146,23332,28996,69,51,17342,1139,"70,929",95,3522,1,,,
CAROLINE,88,55,14,11,0,0,9,3,37,5954,11334,33,31,5195,373,"22,920",13,1002,1,,,
CARROLL,508,290,93,40,0,1,35,20,189,33018,64560,149,83,31786,2065,"131,661",393,5871,1,,,
CECIL,300,225,62,45,0,0,43,10,160,18855,36094,84,98,18006,1312,"74,449",189,4243,1,,,
CHARLES,608,450,148,24,2,0,59,14,247,76988,23708,137,123,27000,1661,"129,617",372,6872,1,,,
DORCHESTER,142,54,13,4,0,1,14,3,35,9482,9741,21,31,4545,386,"24,206",114,824,1,,,
FREDERICK,1070,637,192,88,2,0,97,24,403,78539,69275,277,166,56936,2869,"208,062",3371,13424,1,,,
GARRETT,85,71,12,7,0,0,8,4,31,3410,14114,19,14,3282,294,"21,133",21,898,1,,,
HARFORD,1003,612,198,67,3,1,100,39,408,64479,82742,189,182,47535,3401,"198,528",243,9593,1,,,
HOWARD,1089,792,234,91,1,1,119,44,490,123249,48580,333,108,66905,3449,"242,624",161,10727,1,,,
KENT,67,27,19,5,0,0,6,2,32,5639,5593,15,15,2952,214,"14,428",28,575,1,,,
MONTGOMERY,2947,2712,794,215,9,1,280,110,"1,409",406298,101629,1045,388,186051,9667,"705,078",825,50630,1,,,
PR. GEORGE'S,2907,2052,573,92,4,3,181,99,952,459548,42508,803,538,110750,14228,"628,375",999,48764,1,,,
QUEEN ANNE'S,206,116,21,24,2,0,11,7,65,11277,20888,46,33,9352,605,"42,201",33,1556,1,,,
ST. MARY'S,376,212,80,29,1,0,25,23,158,24899,33621,75,65,19182,1247,"79,089",108,5462,1,,,
SOMERSET,81,35,5,4,0,0,11,2,22,5347,6410,18,21,2708,238,"14,742",99,404,1,,,
TALBOT,139,70,23,7,0,0,8,5,43,10426,11731,22,13,6224,440,"28,856",83,2410,1,,,
WASHINGTON,518,306,77,39,0,0,35,17,168,30591,45394,148,121,25543,1658,"103,455",215,7724,1,,,
WICOMICO,331,207,48,28,0,1,31,6,114,26128,24759,80,98,16046,1281,"68,392",163,3473,1,,,
WORCESTER,241,118,32,21,0,1,21,6,81,13540,20301,47,26,9616,797,"44,327",62,2918,1,,,
TOTAL,"21,654","14,810","4,002","1,311",33,25,"1,678",750,"7,799","2,222,693","1,027,692","5,823","3,751","983,016","71,840","4,314,815","9,957","247,356",1,,,
,,REP,,GRN,WCP,UNA,OTH,TOTAL,DUPS,,DEM,REP,GRN,WCP,UNA,OTH,,TOTAL,2,,DEM,
,,1,,0,0,2,0,8,6,,0,0,0,0,0,0,,0,2,ABSENTEE BALLOT (FPCA),5,BOARD ACTION
,,68,,0,4,99,7,394,155,,30,6,0,0,4,2,,42,2,BY MAIL,216,CONFIRMATION MAIL
,,142,,2,7,295,43,935,81,,3717,1319,13,3,1735,134,,"6,921",2,DESIGNATED STATE AGENCIES,446,COUNTY TRANSFER - OUT
,,41,,6,2,103,14,367,0,,72,11,0,1,24,4,,112,2,ELDERLY / DISABLED / SOC SEC,201,CRIMINAL CONVICTION
,,11,,0,0,31,1,136,0,,1943,961,0,3,394,42,,"3,343",2,ERIC REPORT,93,DEATH NOTICE
,,0,,0,0,0,0,0,0,,112,26,0,0,31,5,,174,2,FROM ANOTHER BOARD,0,DUPLICATE
,,0,,0,0,0,0,1,1,,1904,958,6,6,929,66,,"3,869",2,PROVISIONAL BALLOT,1,MAIL VERIFICATION (NVRA)
,,6,,0,0,19,3,38,5,,0,0,0,0,0,0,,0,2,IN PERSON,10,MENTAL INCOMPETENCY
,,2669,,52,81,5688,264,"15,649",430,,918,648,1,0,412,19,,"1,998",2,MOTOR VEHICLE ADMINISTRATION,6895,MOVED OUT OF STATE
,,2,,0,0,1,0,10,1,,17,15,0,0,30,4,,66,2,NVRA BY MAIL,7,OTHER
,,86,,1,5,228,6,736,5,,118,50,0,0,61,7,,236,2,ONLINE REGISTRATION,410,VOTER REQUEST
,,17,,0,0,52,4,165,35,,,,,,,,,,2,OTHER MEANS,92,
,,14,,0,0,25,2,71,0,,,,,,,,,,2,RECRUITING,30,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,SAME DAY REGISTRATION,0,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,SOCIAL SERVICES,0,
,,7,,0,0,47,9,157,0,,,,,,,,,,2,VOLUNTEER,94,
,,"3,064",,61,99,"6,590",353,"18,667",719,,"8,831","3,994",20,13,"3,620",283,,"16,761",2,TOTAL,"8,500",TOTAL
