county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
,,110,,23,1,0,27,9,,,,170,,,,,,,3,,,DUPLICATE
,,5054,,2486,14,12,2835,165,,,,"10,566",,,,,,,3,,,MAIL VERIFICATION (NVRA)
,,3,,2,0,0,1,0,,,,6,,,,,,,3,,,MENTAL INCOMPETENCY
,,405,,321,0,0,231,14,,,,971,,,,,,,3,,,MOVED OUT OF STATE
,,47,,16,0,0,58,2,,,,123,,,,,,,3,,,OTHER
,,84,,62,2,0,59,5,,,,212,,,,,,,3,,,VOTER REQUEST
,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,3,,,
,,"12,945",,"5,817",34,22,"5,982",430,,,0,"25,230",,,,,,,3,,,TOTAL
