county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,297,87,27,29,0,0,26,10,92,10736,23695,64,82,9506,751,"44,834",310,2585,1,,,
ANNE ARUNDEL,3040,1334,267,190,5,0,216,73,751,172242,129313,532,378,111025,6730,"420,220",2536,30053,1,,,
BALTIMORE CITY,4282,1801,315,85,3,7,132,68,610,297775,29905,847,685,70932,6828,"406,972",3394,19354,1,,,
BALTIMORE CO.,5603,2566,579,338,7,6,314,135,"1,379",305850,140182,825,644,127809,9993,"585,303",1441,22866,1,,,
CALVERT,367,186,33,35,0,0,30,16,114,23176,28803,67,57,17448,1122,"70,673",338,3939,1,,,
CAROLINE,138,53,16,10,1,0,8,6,41,5883,11333,34,32,5236,366,"22,884",119,1109,1,,,
CARROLL,727,372,82,77,1,0,46,31,237,32818,64127,157,108,31994,2008,"131,212",536,6727,1,,,
CECIL,386,215,36,57,1,1,46,23,164,18667,35937,84,115,18043,1275,"74,121",1008,4946,1,,,
CHARLES,843,458,98,43,0,1,61,22,225,76988,23475,140,138,27367,1652,"129,760",642,7739,1,,,
DORCHESTER,199,90,23,13,0,1,8,5,50,9400,9742,21,33,4621,391,"24,208",177,937,1,,,
FREDERICK,1320,682,134,110,1,1,120,25,391,78098,68567,279,188,57142,2790,"207,064",1193,15673,1,,,
GARRETT,118,44,1,7,0,0,5,1,14,3381,14067,23,17,3313,290,"21,091",172,1026,1,,,
HARFORD,1397,636,132,118,2,2,112,42,408,64222,82391,207,209,47895,3366,"198,290",1682,10738,1,,,
HOWARD,1627,738,154,126,4,0,105,34,423,122682,47899,331,121,67582,3426,"242,041",1013,12227,1,,,
KENT,93,25,8,11,0,0,3,2,24,5573,5579,16,14,2983,216,"14,381",66,665,1,,,
MONTGOMERY,4606,2669,508,269,8,6,345,122,"1,258",403394,100251,1075,455,187831,9548,"702,554",5647,55170,1,,,
PR. GEORGE'S,4652,2478,475,116,2,7,208,121,929,455855,41833,829,625,112636,14065,"625,843",12540,32449,1,,,
QUEEN ANNE'S,262,93,17,25,0,0,17,5,64,11216,20867,45,41,9415,601,"42,185",362,1770,1,,,
ST. MARY'S,532,236,34,40,0,3,34,17,128,24822,33401,77,75,19281,1208,"78,864",552,6008,1,,,
SOMERSET,111,34,12,6,1,0,4,2,25,5316,6359,21,21,2750,233,"14,700",96,477,1,,,
TALBOT,208,74,19,13,0,0,16,6,54,10360,11728,23,16,6287,430,"28,844",203,1827,1,,,
WASHINGTON,789,369,70,59,1,1,69,26,226,30372,45057,151,135,25875,1643,"103,233",538,8503,1,,,
WICOMICO,600,204,37,37,1,1,45,14,135,25922,24685,83,109,16171,1267,"68,237",743,3964,1,,,
WORCESTER,292,87,22,24,0,1,22,9,78,13400,20231,48,31,9652,778,"44,140",225,2595,1,,,
TOTAL,"32,489","15,531","3,099","1,838",38,38,"1,992",815,"7,820","2,208,148","1,019,427","5,979","4,329","992,794","70,977","4,301,654","35,533","253,347",1,,,
,,REP,,GRN,WCP,UNA,OTH,TOTAL,DUPS,,DEM,REP,GRN,WCP,UNA,OTH,,TOTAL,2,,DEM,
,,1,,0,0,2,0,19,6,,0,0,0,0,1,0,,1,2,ABSENTEE BALLOT (FPCA),16,BOARD ACTION
,,81,,0,1,97,10,379,30,,7,2,0,0,0,0,,9,2,BY MAIL,190,CONFIRMATION MAIL
,,46,,0,7,176,33,501,8,,5050,1713,14,10,2270,193,,"9,250",2,DESIGNATED STATE AGENCIES,239,COUNTY TRANSFER - OUT
,,25,,1,3,74,13,249,0,,4,1,0,0,0,0,,5,2,ELDERLY / DISABLED / SOC SEC,133,CRIMINAL CONVICTION
,,729,,4,1,935,86,"3,923",2,,2181,1191,3,0,500,42,,"3,917",2,ERIC REPORT,2168,DEATH NOTICE
,,0,,0,0,0,0,0,0,,110,23,1,0,27,9,,170,2,FROM ANOTHER BOARD,0,DUPLICATE
,,0,,0,0,0,0,0,5,,5054,2486,14,12,2835,165,,"10,566",2,PROVISIONAL BALLOT,0,MAIL VERIFICATION (NVRA)
,,7,,0,1,15,1,43,4,,3,2,0,0,1,0,,6,2,IN PERSON,19,MENTAL INCOMPETENCY
,,2067,,46,86,4880,160,"12,948",437,,405,321,0,0,231,14,,971,2,MOTOR VEHICLE ADMINISTRATION,5709,MOVED OUT OF STATE
,,2,,0,0,3,1,8,3,,47,16,0,0,58,2,,123,2,NVRA BY MAIL,2,OTHER
,,90,,2,3,193,12,729,3,,84,62,2,0,59,5,,212,2,ONLINE REGISTRATION,429,VOTER REQUEST
,,7,,0,0,24,1,72,29,,,,,,,,,,2,OTHER MEANS,40,
,,0,,0,0,0,0,0,1,,,,,,,,,,2,RECRUITING,0,
,,0,,0,0,0,0,0,1,,,,,,,,,,2,SAME DAY REGISTRATION,0,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,SOCIAL SERVICES,0,
,,12,,0,1,47,0,113,3,,,,,,,,,,2,VOLUNTEER,53,
,,"3,067",,53,103,"6,446",317,"18,984",532,,"12,945","5,817",34,22,"5,982",430,,"25,230",2,TOTAL,"8,998",TOTAL
,,DEM,,REP,GRN,WCP,UNA,OTH,UNAF,,OTH,TOTAL,,,,,,,3,,,
,,0,,0,0,0,1,0,,,,1,,,,,,,3,,,BOARD ACTION
,,7,,2,0,0,0,0,,,,9,,,,,,,3,,,CONFIRMATION MAIL
,,5050,,1713,14,10,2270,193,,,,"9,250",,,,,,,3,,,COUNTY TRANSFER - OUT
,,4,,1,0,0,0,0,,,,5,,,,,,,3,,,CRIMINAL CONVICTION
,,2181,,1191,3,0,500,42,,,,"3,917",,,,,,,3,,,DEATH NOTICE
