county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,329,151,40,46,0,3,35,17,141,10758,23715,66,88,9592,742,"44,961",142,2547,1,,,
ANNE ARUNDEL,3146,1551,352,274,8,2,300,86,"1,022",172636,129318,535,404,111665,6703,"421,261",3526,29695,1,,,
BALTIMORE CITY,4929,2130,373,97,6,7,213,62,758,297761,29937,856,720,71503,6832,"407,609",2232,19187,1,,,
BALTIMORE CO.,4847,2722,588,300,7,4,320,166,"1,385",305004,139755,829,670,128005,9941,"584,204",2335,24104,1,,,
CALVERT,411,246,49,43,0,0,44,27,163,23164,28777,67,63,17505,1118,"70,694",213,3937,1,,,
CAROLINE,149,67,20,16,1,0,14,3,54,5872,11356,33,34,5259,366,"22,920",77,1095,1,,,
CARROLL,732,391,81,81,3,0,73,36,274,32816,64126,155,115,32138,2005,"131,355",1362,6675,1,,,
CECIL,425,292,72,57,2,1,63,9,204,18675,36005,85,124,18154,1276,"74,319",785,4922,1,,,
CHARLES,1011,519,134,47,2,4,100,32,319,77202,23469,146,145,27612,1648,"130,222",363,7664,1,,,
DORCHESTER,218,89,40,11,0,0,19,10,80,9385,9801,21,34,4651,390,"24,282",66,931,1,,,
FREDERICK,1966,733,156,138,2,1,169,35,501,78383,68616,281,195,57492,2793,"207,760",682,15502,1,,,
GARRETT,108,68,8,9,0,0,5,4,26,3369,14086,23,18,3340,288,"21,124",48,1011,1,,,
HARFORD,1488,699,185,112,3,5,151,61,517,64343,82479,208,214,48158,3358,"198,760",531,10664,1,,,
HOWARD,1649,807,201,159,1,0,184,47,592,122907,47777,342,129,67884,3420,"242,459",709,12138,1,,,
KENT,71,50,13,6,0,0,11,4,34,5578,5581,17,14,3007,215,"14,412",43,651,1,,,
MONTGOMERY,4926,3351,627,373,12,5,491,142,"1,650",403912,100040,1096,474,188746,9529,"703,797",3053,54445,1,,,
PR. GEORGE'S,4950,2941,582,167,8,4,316,132,"1,209",455231,41692,846,649,113517,14011,"625,946",6108,32519,1,,,
QUEEN ANNE'S,258,124,28,37,0,1,32,10,108,11213,20864,46,40,9467,594,"42,224",117,1751,1,,,
ST. MARY'S,574,262,57,42,0,2,50,11,162,24813,33449,77,79,19395,1205,"79,018",628,5993,1,,,
SOMERSET,128,52,13,8,0,0,9,4,34,5329,6362,24,22,2787,231,"14,755",43,486,1,,,
TALBOT,230,100,15,24,0,0,16,10,65,10389,11731,23,17,6326,425,"28,911",98,1807,1,,,
WASHINGTON,804,413,95,65,1,1,68,17,247,30392,45086,150,147,26031,1643,"103,449",403,8430,1,,,
WICOMICO,678,223,57,47,1,1,54,14,174,25855,24610,84,110,16211,1271,"68,141",1382,4091,1,,,
WORCESTER,343,138,37,22,1,0,31,13,104,13384,20275,47,33,9708,771,"44,218",150,2564,1,,,
TOTAL,"34,370","18,119","3,823","2,181",58,41,"2,768",952,"9,823","2,208,371","1,018,907","6,057","4,538","998,153","70,775","4,306,801","25,096","252,809",1,,,
,,REP,,GRN,WCP,UNA,OTH,TOTAL,DUPS,,DEM,REP,GRN,WCP,UNA,OTH,,TOTAL,2,,DEM,
,,4,,0,0,5,1,35,9,,1,0,0,0,0,0,,1,2,ABSENTEE BALLOT (FPCA),25,BOARD ACTION
,,137,,2,3,179,9,755,77,,2,2,0,0,1,0,,5,2,BY MAIL,425,CONFIRMATION MAIL
,,54,,0,2,157,23,502,32,,5362,1700,18,9,2308,200,,"9,597",2,DESIGNATED STATE AGENCIES,266,COUNTY TRANSFER - OUT
,,36,,0,3,121,15,351,4,,25,5,0,0,10,1,,41,2,ELDERLY / DISABLED / SOC SEC,176,CRIMINAL CONVICTION
,,454,,1,1,697,48,"2,622",4,,2101,1129,0,3,453,45,,"3,731",2,ERIC REPORT,1421,DEATH NOTICE
,,0,,0,0,0,0,0,0,,555,128,2,2,156,25,,868,2,FROM ANOTHER BOARD,0,DUPLICATE
,,0,,0,0,0,0,1,0,,1829,760,3,3,682,64,,"3,341",2,PROVISIONAL BALLOT,1,MAIL VERIFICATION (NVRA)
,,11,,0,1,14,2,49,2,,0,0,0,0,0,0,,0,2,IN PERSON,21,MENTAL INCOMPETENCY
,,2518,,58,96,6164,212,"16,675",472,,517,374,2,1,293,20,,"1,207",2,MOTOR VEHICLE ADMINISTRATION,7627,MOVED OUT OF STATE
,,3,,0,0,3,0,12,1,,177,37,1,1,254,20,,490,2,NVRA BY MAIL,6,OTHER
,,133,,6,6,319,15,"1,133",13,,261,96,0,0,106,12,,475,2,ONLINE REGISTRATION,654,VOTER REQUEST
,,33,,1,2,68,6,229,20,,,,,,,,,,2,OTHER MEANS,119,
,,0,,0,0,0,0,0,6,,,,,,,,,,2,RECRUITING,0,
,,0,,0,0,0,0,1,0,,,,,,,,,,2,SAME DAY REGISTRATION,1,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,SOCIAL SERVICES,0,
,,23,,1,3,120,5,357,3,,,,,,,,,,2,VOLUNTEER,205,
,,"3,406",,69,117,"7,847",336,"22,722",643,,"10,830","4,231",26,19,"4,263",387,,"19,756",2,TOTAL,"10,947",TOTAL
