county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,335,60,25,16,0,0,17,8,66,10822,23813,60,72,9428,764,"44,959",152,2368,1,,,
ANNE ARUNDEL,3726,1023,257,162,4,1,172,76,672,173141,130354,519,348,110607,6813,"421,782",2999,27388,1,,,
BALTIMORE CITY,3461,1468,274,53,5,4,129,69,534,299795,30232,849,610,70308,6816,"408,610",4791,16428,1,,,
BALTIMORE CO.,4184,1942,381,171,3,1,178,100,834,307689,141111,807,591,127064,10132,"587,394",688,20353,1,,,
CALVERT,465,166,32,24,0,1,24,12,93,23301,28992,69,51,17386,1140,"70,939",512,3516,1,,,
CAROLINE,180,57,10,11,0,1,4,5,31,5936,11339,33,30,5219,366,"22,923",138,1013,1,,,
CARROLL,862,267,46,49,0,0,43,14,152,33039,64596,150,87,31904,2052,"131,828",4408,5889,1,,,
CECIL,404,214,42,32,0,1,32,18,125,18809,36062,86,100,18045,1304,"74,406",5384,4362,1,,,
CHARLES,922,327,86,24,1,0,34,12,157,77044,23688,140,125,27115,1663,"129,775",1675,6848,1,,,
DORCHESTER,184,56,15,4,0,0,10,2,31,9468,9738,21,33,4566,394,"24,220",66,816,1,,,
FREDERICK,1834,536,116,75,1,1,93,22,308,78567,69251,277,170,57106,2864,"208,235",1745,13448,1,,,
GARRETT,141,45,7,7,0,0,3,4,21,3403,14112,21,14,3302,294,"21,146",154,914,1,,,
HARFORD,1277,476,114,59,4,2,83,24,286,64578,82853,193,190,47699,3408,"198,921",285,9711,1,,,
HOWARD,1161,573,141,77,0,3,83,29,333,123356,48528,334,106,67171,3455,"242,950",202,10803,1,,,
KENT,98,37,3,3,0,0,6,2,14,5656,5603,15,15,2950,216,"14,455",162,574,1,,,
MONTGOMERY,6281,2230,474,205,5,5,307,88,"1,084",406137,101463,1051,406,186702,9658,"705,417",11878,50399,1,,,
PR. GEORGE'S,2398,1008,264,66,2,0,92,36,460,459335,42452,809,554,111032,14215,"628,397",1678,48904,1,,,
QUEEN ANNE'S,374,89,15,13,1,2,16,6,53,11281,20906,47,33,9384,604,"42,255",300,1550,1,,,
ST. MARY'S,376,180,33,23,0,0,35,12,103,24912,33632,75,69,19242,1236,"79,166",367,5442,1,,,
SOMERSET,114,23,7,6,0,0,2,4,19,5330,6398,18,21,2713,235,"14,715",122,417,1,,,
TALBOT,253,72,10,10,1,0,6,3,30,10416,11740,21,14,6245,436,"28,872",222,2405,1,,,
WASHINGTON,1027,272,44,37,2,1,37,21,142,30586,45398,148,124,25648,1659,"103,563",873,7744,1,,,
WICOMICO,413,194,44,14,0,0,29,13,100,26115,24783,82,101,16111,1281,"68,473",114,3509,1,,,
WORCESTER,243,97,18,19,0,0,16,12,65,13535,20343,48,27,9649,789,"44,391",301,2918,1,,,
TOTAL,"30,713","11,412","2,458","1,160",29,23,"1,451",592,"5,713","2,222,251","1,027,387","5,873","3,891","986,596","71,794","4,317,792","39,216","247,719",1,,,
,,REP,,GRN,WCP,UNA,OTH,TOTAL,DUPS,,DEM,REP,GRN,WCP,UNA,OTH,,TOTAL,2,,DEM,
,,2,,0,0,1,0,9,1,,0,0,0,0,0,0,,0,2,ABSENTEE BALLOT (FPCA),6,BOARD ACTION
,,31,,0,2,58,7,213,62,,8,7,0,0,6,0,,21,2,BY MAIL,115,CONFIRMATION MAIL
,,61,,0,4,210,33,588,25,,4215,1696,10,8,1991,163,,"8,083",2,DESIGNATED STATE AGENCIES,280,COUNTY TRANSFER - OUT
,,29,,1,3,73,23,276,0,,58,9,1,1,18,3,,90,2,ELDERLY / DISABLED / SOC SEC,147,CRIMINAL CONVICTION
,,719,,2,3,756,54,"3,164",0,,1359,774,0,1,352,42,,"2,528",2,ERIC REPORT,1630,DEATH NOTICE
,,0,,0,0,0,0,0,0,,25,7,0,0,1,0,,33,2,FROM ANOTHER BOARD,0,DUPLICATE
,,0,,0,0,0,0,2,1,,1040,513,5,2,581,46,,"2,187",2,PROVISIONAL BALLOT,2,MAIL VERIFICATION (NVRA)
,,5,,0,0,6,1,21,5,,0,0,0,0,0,0,,0,2,IN PERSON,9,MENTAL INCOMPETENCY
,,2031,,38,58,4176,180,"11,348",418,,554,375,0,0,275,23,,"1,227",2,MOTOR VEHICLE ADMINISTRATION,4865,MOVED OUT OF STATE
,,3,,0,0,4,0,14,1,,61,17,0,0,65,14,,157,2,NVRA BY MAIL,7,OTHER
,,76,,3,3,157,2,580,1,,69,26,1,0,44,0,,140,2,ONLINE REGISTRATION,339,VOTER REQUEST
,,5,,0,3,13,2,53,27,,,,,,,,,,2,OTHER MEANS,30,
,,0,,0,0,0,0,0,1,,,,,,,,,,2,RECRUITING,0,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,SAME DAY REGISTRATION,0,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,SOCIAL SERVICES,0,
,,6,,0,0,44,6,153,3,,,,,,,,,,2,VOLUNTEER,97,
,,"2,968",,44,76,"5,498",308,"16,421",545,,"7,389","3,424",17,12,"3,333",291,,"14,466",2,TOTAL,"7,527",TOTAL
