summary,new_registration_by_party,none,none_2,none_3,none_4,none_5,none_6,none_7,removals,none_8,none_9,none_10,none_11,none_12,none_13,none_14,source_page,county,changes,party_affiliation_from,total_active_registration,activity
,DEM,REP,NLM,LIB,UNAF,OTH,TOTAL,DUPS,,DEM,REP,NLM,LIB,UNAF,OTH,TOTAL,1,,,,,
ABSENTEE BALLOT (FPCA),115,48,0,0,25,2,190,69,BOARD ACTION,3,0,0,0,0,0,3,1,,,,,
BY MAIL,795,275,4,4,310,10,"1,398",286,CONFIRMATION MAIL,2,0,0,0,3,0,5,1,,,,,
DESIGNATED STATE AGENCIES,261,95,5,1,214,15,591,107,COUNTY TRANSFER - OUT,"4,256","1,203",0,32,"1,671",115,"7,277",1,,,,,
ELDERLY / DISABLED / SOC SEC,368,123,3,2,198,6,700,4,CRIMINAL CONVICTION,61,13,0,0,23,2,99,1,,,,,
ERIC REPORT,2,0,0,0,0,0,2,1,DEATH NOTICE,"1,969",955,0,4,470,31,"3,429",1,,,,,
FROM ANOTHER BOARD,0,0,0,0,0,0,0,0,DUPLICATE,179,69,0,1,82,13,344,1,,,,,
PROVISIONAL BALLOT,0,0,0,0,0,0,0,1,MAIL VERIFICATION (NVRA),0,0,0,0,0,0,0,1,,,,,
IN PERSON,86,37,1,0,32,1,157,7,MENTAL INCOMPETENCY,0,0,0,0,0,0,0,1,,,,,
MOTOR VEHICLE ADMINISTRATION,6790,2677,0,122,5719,222,"15,530",611,MOVED OUT OF STATE,310,129,0,4,111,3,557,1,,,,,
NVRA BY MAIL,26,18,0,0,14,0,58,6,OTHER,32,6,1,0,24,1,64,1,,,,,
ONLINE REGISTRATION,1132,456,30,17,689,17,"2,341",2,VOTER REQUEST,249,65,1,0,107,3,425,1,,,,,
OTHER MEANS,294,42,2,3,126,10,477,46,,,,,,,,,1,,,,,
RECRUITING,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,
SAME DAY REGISTRATION,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,
SOCIAL SERVICES,0,0,0,0,0,0,0,1,,,,,,,,,1,,,,,
VOLUNTEER,157,54,9,2,110,6,338,0,,,,,,,,,1,,,,,
TOTAL,"10,026","3,825",54,151,"7,437",289,"21,782","1,141",TOTAL,"7,061","2,440",2,41,"2,491",168,"12,203",1,,,,,
,,NAME,REP,NLM,LIB,UNAF,OTH,TOTAL,,REP,NLM,LIB,UNAF,OTH,TOTAL,INACTIVE,2,,ADDRESS,DEM,DEM,"CONF
MAILING"
,,166,23,0,2,85,13,161,,22756,3,265,9001,571,"43,563",3518,2,ALLEGANY,261,38,10967,0
,,2756,224,1,16,848,61,"1,526",,129488,50,2514,105265,4331,"414,981",33614,2,ANNE ARUNDEL,2186,376,173333,3
,,3106,146,0,15,653,65,"1,247",,28557,83,1198,62638,5920,"395,024",25657,2,BALTIMORE CITY,4496,368,296628,1
,,4260,239,1,21,895,112,"1,856",,137606,83,2690,117801,7863,"572,851",33118,2,BALTIMORE CO.,3740,588,306808,0
,,482,51,0,1,140,16,267,,28137,18,463,16412,735,"69,311",5591,2,CALVERT,276,59,23546,0
,,84,16,0,1,29,1,59,,10722,1,127,4880,263,"22,061",1445,2,CAROLINE,128,12,6068,0
,,683,90,1,15,401,31,627,,63784,15,848,30168,1333,"129,485",7040,2,CARROLL,505,89,33337,0
,,601,32,0,9,397,16,920,,34623,16,491,17361,926,"72,563",5653,2,CECIL,327,466,19146,0
,,701,38,0,5,194,16,383,,23097,21,442,24429,1212,"124,232",10111,2,CHARLES,620,130,75031,0
,,114,10,0,0,31,2,66,,9276,1,114,4230,261,"23,405",1067,2,DORCHESTER,194,23,9523,0
,,1403,102,1,12,446,37,765,,68181,39,1258,52931,1734,"202,041",15050,2,FREDERICK,1036,167,77898,0
,,91,14,0,1,26,2,63,,13770,2,110,3110,209,"20,730",1250,2,GARRETT,111,20,3529,0
,,1095,114,1,9,356,30,691,,80783,16,1275,44713,2256,"193,577",12761,2,HARFORD,941,181,64534,0
,,1749,121,2,6,668,50,"1,074",,48312,39,976,61690,2489,"235,234",14982,2,HOWARD,1199,227,121728,0
,,72,7,0,1,19,0,39,,5308,0,70,2777,147,"14,073",846,2,KENT,65,12,5771,0
,,6482,349,3,26,"1,538",123,"2,945",,98514,132,2413,171465,7213,"687,327",65682,2,MONTGOMERY,3592,906,407590,0
,,3905,106,3,11,756,104,"1,612",,38833,73,1551,98132,12540,"606,213",42378,2,PR. GEORGE'S,3455,632,455084,2
,,202,25,1,0,55,7,110,,20077,3,237,8889,392,"40,678",2165,2,QUEEN ANNE'S,278,22,11080,0
,,391,38,0,3,139,7,257,,32098,16,501,17984,846,"76,344",7841,2,ST. MARY'S,428,70,24899,0
,,61,2,0,0,19,1,37,,6173,1,70,2531,169,"14,374",527,2,SOMERSET,77,15,5430,0
,,159,14,0,1,50,6,82,,11677,4,166,6048,274,"28,766",1724,2,TALBOT,157,11,10597,0
,,570,40,0,4,169,14,331,,44410,7,661,23871,1194,"101,067",10946,2,WASHINGTON,620,104,30924,0
,,278,24,0,3,83,11,181,,24039,4,364,14819,913,"66,339",4700,2,WICOMICO,489,60,26200,0
,,151,19,0,2,53,9,108,,19555,3,240,9079,564,"43,084",3011,2,WORCESTER,277,25,13643,0
,,"29,562","1,844",14,164,"8,050",734,"15,407",,"999,776",630,"19,044","910,224","54,355","4,197,323","310,677",2,TOTAL,"25,458","4,601","2,213,294",6
