county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,295,77,28,12,0,0,15,9,64,"10,810","23,683",55,54,"9,098",781,"44,481",112,"2,872",1,,,
ANNE ARUNDEL,"3,123","1,336",349,186,1,3,151,95,785,"173,256","131,249",466,244,"107,393","6,690","419,298","2,548","24,737",1,,,
BALTIMORE CITY,"10,111","6,213","1,212",218,12,32,429,234,"2,137","301,847","30,337",777,392,"67,140","6,823","407,316",24,"14,010",1,,,
BALTIMORE CO.,"4,470","1,786",420,174,3,9,165,109,880,"309,107","142,192",747,403,"122,990","10,227","585,666","1,953","17,411",1,,,
CALVERT,338,154,46,20,0,0,13,15,94,"23,581","29,095",64,34,"16,927","1,155","70,856",893,"3,021",1,,,
CAROLINE,136,59,14,5,0,0,6,2,27,"5,987","11,244",26,24,"5,018",375,"22,674",67,918,1,,,
CARROLL,762,268,62,66,1,0,26,23,178,"33,189","64,849",141,64,"31,079","2,125","131,447",771,"4,929",1,,,
CECIL,396,188,35,27,0,1,26,11,100,"19,026","36,032",77,72,"17,550","1,346","74,103",304,"3,684",1,,,
CHARLES,684,340,116,25,0,0,37,16,194,"76,785","23,937",126,91,"26,056","1,701","128,696",558,"5,687",1,,,
DORCHESTER,174,64,10,8,2,0,3,2,25,"9,566","9,709",17,23,"4,443",392,"24,150",136,641,1,,,
FREDERICK,"1,587",474,122,73,0,1,75,44,315,"79,320","70,193",244,113,"55,863","2,956","208,689",709,"9,861",1,,,
GARRETT,93,34,5,8,0,0,3,1,17,"3,440","14,115",16,14,"3,160",302,"21,047",624,830,1,,,
HARFORD,"1,305",434,124,73,0,1,78,42,318,"64,500","82,632",169,134,"46,354","3,489","197,278","1,098","7,997",1,,,
