county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
HOWARD,"1,184",547,215,81,1,0,69,24,390,"123,357","49,181",302,77,"65,031","3,500","241,448","1,035","9,250",1,,,
KENT,68,35,6,5,0,0,3,3,17,"5,696","5,559",14,10,"2,858",214,"14,351",98,495,1,,,
MONTGOMERY,"7,404","6,724","1,885",408,13,11,699,318,"3,334","409,937","102,773",934,245,"180,962","9,826","704,677","4,781","42,359",1,,,
PR. GEORGE'S,"3,831","2,055",735,126,9,3,590,158,"1,621","460,669","42,535",725,351,"105,480","14,150","623,910","8,709","46,665",1,,,
QUEEN ANNE'S,266,86,10,19,0,0,12,7,48,"11,233","20,862",48,22,"9,125",614,"41,904",108,"1,223",1,,,
ST. MARY'S,436,167,45,23,2,0,15,18,103,"24,991","33,594",68,55,"18,601","1,282","78,591",650,"4,917",1,,,
SOMERSET,95,24,13,1,0,0,5,2,21,"5,366","6,392",18,11,"2,609",241,"14,637",5,338,1,,,
TALBOT,177,42,18,15,0,0,11,4,48,"10,477","11,756",22,7,"6,082",451,"28,795",129,"2,327",1,,,
WASHINGTON,781,279,60,27,0,1,29,14,131,"30,574","45,529",132,92,"24,716","1,692","102,735",304,"6,925",1,,,
WICOMICO,487,144,47,22,0,2,26,12,109,"26,201","24,896",71,60,"15,527","1,288","68,043",329,"3,055",1,,,
WORCESTER,347,86,28,14,1,0,10,9,62,"13,602","20,195",43,22,"9,378",797,"44,037",198,"2,590",1,,,
TOTAL,"38,550","21,616","5,605","1,636",45,64,"2,496","1,172","11,018","2,232,517","1,032,539","5,302","2,614","953,440","72,417","4,298,829","26,143","216,742",1,,,
,,REP,,GRN,WCP,UNA,OTH,TOTAL,DUPS,,DEM,REP,GRN,WCP,UNA,OTH,,TOTAL,2,,DEM,
,,1,,0,0,0,1,8,39,,0,0,0,0,0,0,,0,2,ABSENTEE BALLOT (FPCA),6,BOARD ACTION
,,80,,0,1,111,13,455,345,,4,1,0,0,1,0,,6,2,BY MAIL,250,CONFIRMATION MAIL
,,83,,1,1,288,26,792,152,,"6,170","1,842",21,12,"2,669",282,,"10,996",2,DESIGNATED STATE AGENCIES,393,COUNTY TRANSFER - OUT
,,26,,0,2,67,10,203,14,,68,11,0,0,24,0,,103,2,ELDERLY / DISABLED / SOC SEC,98,CRIMINAL CONVICTION
,,524,,8,2,693,66,"2,674",4,,"2,873","1,228",1,1,485,47,,"4,635",2,ERIC REPORT,1381,DEATH NOTICE
,,0,,0,0,0,0,0,0,,44,8,0,0,15,1,,68,2,FROM ANOTHER BOARD,0,DUPLICATE
,,3,,0,0,3,0,20,111,,"2,533",758,8,6,"1,400",196,,"4,901",2,PROVISIONAL BALLOT,14,MAIL VERIFICATION (NVRA)
,,4,,0,0,11,0,40,201,,0,1,0,0,0,0,,1,2,IN PERSON,25,MENTAL INCOMPETENCY
,,3384,,72,14,8437,478,"22,570",506,,111,69,0,1,56,3,,240,2,MOTOR VEHICLE ADMINISTRATION,10185,MOVED OUT OF STATE
,,7,,0,0,2,0,18,25,,12,5,0,0,8,1,,26,2,NVRA BY MAIL,9,OTHER
,,66,,7,1,166,8,511,11,,64,31,0,0,53,6,,154,2,ONLINE REGISTRATION,263,VOTER REQUEST
,,2,,0,0,1,0,16,3,,,,,,,,,,2,OTHER MEANS,13,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,RECRUITING,0,
,,0,,0,0,0,0,14,123,,,,,,,,,,2,SAME DAY REGISTRATION,14,
,,0,,0,0,1,0,1,0,,,,,,,,,,2,SOCIAL SERVICES,0,
,,2,,0,0,11,1,29,0,,,,,,,,,,2,VOLUNTEER,15,
,,"4,182",,88,21,"9,791",603,"27,351","1,534",,"11,879","3,954",30,20,"4,711",536,,"21,130",2,TOTAL,"12,666",TOTAL
