county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,NLM,LIB,UNAF,OTH,TOTAL,DEM,REP,NLM,LIB,UNAF,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,184,139,46,17,0,3,27,7,100,"10,791","22,883",42,269,"8,820",568,"43,373",235,"3,875",1,,,
ANNE ARUNDEL,"1,670","2,237",471,250,7,29,446,63,"1,266","171,051","128,420",459,"2,507","103,791","4,250","410,478",334,"41,195",1,,,
BALTIMORE CITY,"5,571","4,772",778,222,10,15,371,113,"1,509","296,091","28,566",365,"1,204","62,284","5,753","394,263",102,"28,134",1,,,
BALTIMORE CO.,"2,546","3,485",697,280,6,25,454,109,"1,571","306,358","138,172",545,"2,702","118,034","7,756","573,567",645,"36,066",1,,,
CALVERT,181,347,74,42,2,5,55,17,195,"23,264","28,135",64,454,"16,375",717,"69,009",43,"6,283",1,,,
CAROLINE,48,133,26,22,0,1,26,7,82,"5,962","10,752",26,124,"4,895",253,"22,012",30,"1,659",1,,,
CARROLL,328,534,122,80,1,6,110,20,339,"33,112","63,736",105,842,"30,168","1,330","129,293",278,"8,120",1,,,
CECIL,269,371,90,104,0,3,67,11,275,"19,011","35,124",96,480,"17,141",909,"72,761",424,"6,296",1,,,
CHARLES,380,689,160,55,2,4,129,10,360,"74,913","23,059",109,445,"24,567",2,"123,095",152,"11,032",1,,,
DORCHESTER,93,78,28,7,0,0,15,4,54,"9,504","9,383",22,109,"4,276",262,"23,556",122,"1,135",1,,,
FREDERICK,961,"1,104",273,121,4,11,220,29,658,"77,885","68,337",197,"1,267","53,482","1,722","202,890",346,"16,375",1,,,
GARRETT,59,75,13,10,0,0,4,6,33,"3,458","13,722",15,110,"3,035",202,"20,542",125,"1,513",1,,,
HARFORD,634,894,199,128,1,19,192,31,570,"64,052","80,784",194,"1,277","44,749","2,216","193,272",521,"14,580",1,,,
HOWARD,717,"1,233",305,136,3,16,231,34,725,"122,110","48,332",227,971,"62,275","2,463","236,378",245,"16,069",1,,,
KENT,34,56,12,6,0,0,8,2,28,"5,710","5,347",12,71,"2,801",143,"14,084",11,887,1,,,
MONTGOMERY,"7,125","6,712","1,368",443,13,43,702,144,"2,713","402,271","97,741",614,"2,455","171,301","7,125","681,507","23,261","75,914",1,,,
PR. GEORGE'S,"5,560","6,923","1,183",192,13,22,417,168,"1,995","453,276","39,147",607,"1,579","99,087","12,363","606,059",433,"44,872",1,,,
QUEEN ANNE'S,134,178,43,34,0,2,35,8,122,"11,128","20,290",36,238,"8,880",374,"40,946",33,"2,297",1,,,
ST. MARY'S,505,528,118,70,1,4,95,19,307,"24,509","32,171",62,499,"17,871",815,"75,927",165,"8,953",1,,,
SOMERSET,41,56,13,12,0,1,3,2,31,"5,368","6,192",14,70,"2,545",166,"14,355",43,619,1,,,
TALBOT,91,130,19,22,0,6,26,6,79,"10,424","11,585",25,167,"5,956",273,"28,430",120,"2,155",1,,,
WASHINGTON,525,489,114,67,2,9,85,16,293,"30,258","44,080",80,649,"23,642","1,147","99,856",179,"12,950",1,,,
WICOMICO,329,265,80,36,1,2,47,4,170,"25,823","23,998",83,384,"14,915",885,"66,088",288,"5,557",1,,,
WORCESTER,171,174,44,42,1,1,46,7,141,"13,491","19,480",40,238,"9,068",559,"42,876",21,"3,399",1,,,
TOTAL,"28,156","31,602","6,276","2,398",67,227,"8,036",837,"17,841","2,199,820","999,436","4,039","19,111","902,407","52,253","4,184,617","28,156","349,935",1,,,
,,REP,,NLM,LIB,UNAF,OTH,TOTAL,DUPS,,DEM,REP,NLM,LIB,UNAF,OTH,,TOTAL,2,,DEM,
,,15,,0,0,27,4,113,48,,0,1,0,0,0,0,,1,2,ABSENTEE BALLOT (FPCA),67,BOARD ACTION
,,152,,2,6,125,8,585,186,,"8,456","3,194",6,83,"4,774",176,,"16,689",2,BY MAIL,292,CONFIRMATION MAIL
,,122,,0,2,301,11,813,58,,"7,014","1,843",18,82,"2,691",191,,"11,839",2,DESIGNATED STATE AGENCIES,377,COUNTY TRANSFER - OUT
,,74,,5,3,139,5,478,0,,49,12,0,0,23,8,,92,2,ELDERLY / DISABLED / SOC SEC,252,CRIMINAL CONVICTION
,,134,,0,4,237,15,929,1,,"1,760",829,1,3,421,56,,"3,070",2,ERIC REPORT,539,DEATH NOTICE
,,0,,0,0,0,0,0,0,,77,12,0,0,33,3,,125,2,FROM ANOTHER BOARD,0,DUPLICATE
,,0,,0,0,0,0,4,5,,0,0,0,0,0,0,,0,2,PROVISIONAL BALLOT,4,MAIL VERIFICATION (NVRA)
,,25,,0,0,26,0,110,7,,0,0,0,0,0,0,,0,2,IN PERSON,59,MENTAL INCOMPETENCY
,,"4,658",,567,189,"10,554",372,"29,651",929,,167,135,0,3,96,4,,405,2,MOTOR VEHICLE ADMINISTRATION,"13,311",MOVED OUT OF STATE
,,17,,0,1,18,0,55,4,,22,18,3,0,34,1,,78,2,NVRA BY MAIL,19,OTHER
,,934,,86,39,"1,230",36,"4,470",13,,223,67,1,2,84,10,,387,2,ONLINE REGISTRATION,"2,145",VOTER REQUEST
,,64,,2,5,121,16,709,44,,,,,,,,,,2,OTHER MEANS,501,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,RECRUITING,0,
,,0,,0,0,0,0,3,0,,,,,,,,,,2,SAME DAY REGISTRATION,3,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,SOCIAL SERVICES,0,
,,11,,2,0,13,1,56,0,,,,,,,,,,2,VOLUNTEER,29,
,,"6,206",,664,249,"12,791",468,"37,976","1,295",,"17,768","6,111",29,173,"15,059",449,,"32,686",2,TOTAL,"17,598",TOTAL
