county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,179,71,21,10,0,1,12,6,50,10828,23647,52,55,9017,786,"44,385",86,2887,1,,,
ANNE ARUNDEL,2562,1606,419,151,4,2,163,135,874,173564,131403,455,243,106911,6792,"419,368",342,23556,1,,,
BALTIMORE CITY,3079,1804,467,120,6,11,337,115,"1,056",300359,29792,754,413,64900,6638,"402,856",7580,14224,1,,,
BALTIMORE CO.,2818,1741,484,177,4,2,221,104,992,309799,142326,743,409,122520,10274,"586,071",4915,17253,1,,,
CALVERT,201,134,53,11,0,1,17,16,98,23592,29071,61,35,16808,1156,"70,723",23,3037,1,,,
CAROLINE,80,47,10,4,0,0,7,3,24,6003,11227,25,23,4978,373,"22,629",1,899,1,,,
CARROLL,363,224,69,49,0,1,34,24,177,33197,64877,140,64,30954,2121,"131,353",530,4980,1,,,
CECIL,226,158,55,37,0,0,21,18,131,19015,35975,74,74,17435,1346,"73,919",23,3710,1,,,
CHARLES,451,290,97,22,0,5,31,14,169,76795,23945,121,90,25832,1700,"128,483",11,5709,1,,,
DORCHESTER,118,44,13,6,0,0,5,3,27,9578,9695,19,23,4407,391,"24,113",42,644,1,,,
FREDERICK,1173,518,192,66,0,0,80,41,379,79237,70075,233,113,55511,2971,"208,140",1870,9810,1,,,
GARRETT,54,33,12,6,0,0,3,3,24,3443,14111,16,14,3136,308,"21,028",17,838,1,,,
HARFORD,692,409,154,55,3,3,51,31,297,64526,82547,160,132,46108,3509,"196,982",263,7968,1,,,
HOWARD,990,550,264,59,0,0,57,27,407,123555,49232,295,75,64725,3501,"241,383",1273,9330,1,,,
KENT,36,26,9,5,0,0,3,0,17,5696,5558,14,10,2851,215,"14,344",192,499,1,,,
MONTGOMERY,5393,5756,"1,481",338,10,6,598,149,"2,582",409102,101982,913,253,177721,9726,"699,697",13487,43208,1,,,
PR. GEORGE'S,2731,1738,282,42,1,2,94,46,467,462824,42645,705,349,105398,14254,"626,175",4696,44544,1,,,
QUEEN ANNE'S,147,82,29,7,1,0,10,8,55,11225,20857,47,22,9093,605,"41,849",12,1222,1,,,
ST. MARY'S,261,161,41,27,0,0,20,16,104,25016,33587,68,54,18505,1294,"78,524",50,4861,1,,,
SOMERSET,51,29,12,2,0,0,8,1,23,5353,6366,16,11,2575,239,"14,560",0,344,1,,,
TALBOT,87,56,12,10,0,0,3,6,31,10546,11787,21,8,6132,456,"28,950",140,2123,1,,,
WASHINGTON,573,234,50,23,0,0,35,17,125,30614,45571,128,92,24602,1706,"102,713",585,6716,1,,,
WICOMICO,267,113,44,15,0,1,16,12,88,26217,24864,71,61,15452,1284,"67,949",109,3040,1,,,
WORCESTER,209,65,28,9,0,0,5,8,50,13620,20176,44,22,9305,797,"43,964",54,2566,1,,,
TOTAL,"22,741","15,889","4,298","1,251",29,35,"1,831",803,"8,247","2,233,704","1,031,316","5,175","2,645","944,876","72,442","4,290,158","36,301","213,968",1,,,
,,REP,,GRN,WCP,UNA,OTH,TOTAL,DUPS,,DEM,REP,GRN,WCP,UNA,OTH,,TOTAL,2,,DEM,
,,5,,0,0,3,1,23,27,,0,0,0,0,0,0,,0,2,ABSENTEE BALLOT (FPCA),14,BOARD ACTION
,,40,,0,0,38,6,148,129,,3,5,0,0,4,1,,13,2,BY MAIL,64,CONFIRMATION MAIL
,,83,,0,1,207,11,567,89,,"3,641","1,181",8,5,"1,828",163,,"6,826",2,DESIGNATED STATE AGENCIES,265,COUNTY TRANSFER - OUT
,,23,,1,1,76,4,181,0,,43,4,0,0,13,1,,61,2,ELDERLY / DISABLED / SOC SEC,76,CRIMINAL CONVICTION
,,173,,2,2,460,45,"1,294",0,,"1,951","1,023",3,0,455,40,,"3,472",2,ERIC REPORT,612,DEATH NOTICE
,,0,,0,0,0,0,0,0,,88,30,1,0,31,6,,156,2,FROM ANOTHER BOARD,0,DUPLICATE
,,6,,0,0,9,2,61,210,,"6,101","3,129",25,19,"3,886",322,,"13,482",2,PROVISIONAL BALLOT,44,MAIL VERIFICATION (NVRA)
,,6,,0,0,7,1,41,21,,0,0,0,0,0,0,,0,2,IN PERSON,27,MENTAL INCOMPETENCY
,,2651,,37,0,5520,367,"14,623",225,,395,168,1,1,168,10,,743,2,MOTOR VEHICLE ADMINISTRATION,6048,MOVED OUT OF STATE
,,3,,0,0,9,1,23,8,,59,19,0,0,59,10,,147,2,NVRA BY MAIL,10,OTHER
,,47,,1,0,79,4,297,1,,72,26,0,0,41,2,,141,2,ONLINE REGISTRATION,166,VOTER REQUEST
,,93,,0,0,111,11,441,112,,,,,,,,,,2,OTHER MEANS,226,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,RECRUITING,0,
,,0,,0,0,0,0,1,0,,,,,,,,,,2,SAME DAY REGISTRATION,1,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,SOCIAL SERVICES,0,
,,6,,0,0,12,1,26,0,,,,,,,,,,2,VOLUNTEER,7,
,,"3,136",,41,4,"6,531",454,"17,726",822,,"12,353","5,585",38,25,"6,485",555,,"25,041",2,TOTAL,"7,560",TOTAL
