county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,187,88,11,14,0,0,18,10,53,10841,23767,56,55,9198,773,"44,690",10,2305,1,,,
ANNE ARUNDEL,1853,987,213,117,3,0,122,46,501,173207,130852,488,285,108661,6646,"420,139",268,25760,1,,,
BALTIMORE CITY,2704,1447,267,67,1,1,109,62,507,301146,30245,803,463,68370,6798,"407,825",7292,15161,1,,,
BALTIMORE CO.,2808,1588,304,135,2,1,159,79,680,308715,141783,774,447,124374,10200,"586,293",350,18590,1,,,
CALVERT,251,118,30,15,0,0,21,3,69,23486,29045,67,41,17108,1148,"70,895",15,3213,1,,,
CAROLINE,87,41,5,4,0,0,9,3,21,6002,11280,29,26,5104,375,"22,816",3,931,1,,,
CARROLL,489,214,39,40,1,0,31,27,138,33146,64637,144,69,31352,2093,"131,441",63,5409,1,,,
CECIL,275,175,27,33,0,1,15,12,88,18980,36072,80,80,17727,1330,"74,269",42,3899,1,,,
CHARLES,566,346,68,19,0,0,42,26,155,76842,23807,130,106,26423,1672,"128,980",44,6268,1,,,
DORCHESTER,115,72,11,7,0,0,3,2,23,9495,9701,18,26,4504,387,"24,131",18,770,1,,,
FREDERICK,1015,402,96,59,4,0,55,25,239,79357,69843,251,130,56391,2917,"208,889",93,10758,1,,,
GARRETT,69,32,2,5,0,0,4,2,13,3434,14114,18,15,3213,295,"21,089",5,852,1,,,
HARFORD,921,464,94,53,1,0,70,30,248,64494,82637,179,156,46857,3432,"197,755",64,8877,1,,,
HOWARD,1268,581,156,83,1,0,87,35,362,123331,48934,315,91,65777,3488,"241,936",432,9932,1,,,
KENT,48,27,4,5,0,0,7,1,17,5676,5562,14,14,2889,211,"14,366",17,534,1,,,
MONTGOMERY,2836,2238,494,176,2,2,261,90,"1,025",408818,102477,979,295,183003,9802,"705,374",1481,44941,1,,,
PR. GEORGE'S,2542,1578,511,116,5,2,228,120,982,461672,42644,755,425,107959,14207,"627,662",2275,46502,1,,,
QUEEN ANNE'S,231,63,17,7,0,0,9,5,38,11306,20987,49,25,9265,616,"42,248",13,1192,1,,,
ST. MARY'S,315,145,33,21,1,1,18,11,85,25017,33661,70,61,18802,1274,"78,885",37,5120,1,,,
SOMERSET,61,20,7,4,0,0,4,3,18,5343,6397,18,16,2642,238,"14,654",7,372,1,,,
TALBOT,142,57,16,10,0,0,12,4,42,10394,11720,22,8,6119,444,"28,707",79,2388,1,,,
WASHINGTON,447,231,41,28,2,0,34,15,120,30605,45444,138,103,25069,1677,"103,036",41,7286,1,,,
WICOMICO,300,144,29,23,0,0,20,9,81,26163,24811,78,80,15739,1274,"68,145",5,3308,1,,,
WORCESTER,180,67,11,10,0,0,14,4,39,13559,20205,44,23,9499,803,"44,133",7,2758,1,,,
TOTAL,"19,710","11,125","2,486","1,051",23,8,"1,352",624,"5,544","2,231,029","1,030,625","5,519","3,040","966,045","72,100","4,308,358","12,661","227,126",1,,,
,,REP,,GRN,WCP,UNA,OTH,TOTAL,DUPS,,DEM,REP,GRN,WCP,UNA,OTH,,TOTAL,2,,DEM,
,,1,,0,0,3,0,6,7,,0,0,0,0,1,0,,1,2,ABSENTEE BALLOT (FPCA),2,BOARD ACTION
,,38,,2,1,66,8,256,"1,627",,1,4,0,0,0,0,,5,2,BY MAIL,141,CONFIRMATION MAIL
,,42,,0,3,166,12,395,40,,"3,441","1,192",15,4,"1,592",126,,"6,370",2,DESIGNATED STATE AGENCIES,172,COUNTY TRANSFER - OUT
,,15,,1,0,48,6,147,1,,26,4,1,0,15,1,,47,2,ELDERLY / DISABLED / SOC SEC,77,CRIMINAL CONVICTION
,,61,,0,0,108,6,354,7,,"1,574",921,2,0,367,40,,"2,904",2,ERIC REPORT,179,DEATH NOTICE
,,0,,0,0,0,0,0,0,,48,13,0,0,21,2,,84,2,FROM ANOTHER BOARD,0,DUPLICATE
,,1,,0,0,5,1,11,42,,"4,434","2,562",19,11,"2,592",189,,"9,807",2,PROVISIONAL BALLOT,4,MAIL VERIFICATION (NVRA)
,,3,,0,0,3,0,21,2,,0,0,0,0,1,0,,1,2,IN PERSON,15,MENTAL INCOMPETENCY
,,"2,777",,57,83,"6,332",243,"17,266",348,,143,131,1,0,79,6,,360,2,MOTOR VEHICLE ADMINISTRATION,"7,774",MOVED OUT OF STATE
,,1,,0,0,3,0,10,2,,21,8,0,0,23,3,,55,2,NVRA BY MAIL,6,OTHER
,,47,,1,1,129,2,388,9,,115,26,0,0,30,5,,176,2,ONLINE REGISTRATION,208,VOTER REQUEST
,,18,,0,0,28,5,109,28,,,,,,,,,,2,OTHER MEANS,58,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,RECRUITING,0,
,,0,,0,0,0,0,4,12,,,,,,,,,,2,SAME DAY REGISTRATION,4,
,,0,,0,0,0,0,1,0,,,,,,,,,,2,SOCIAL SERVICES,1,
,,6,,0,2,23,4,51,0,,,,,,,,,,2,VOLUNTEER,16,
,,"3,010",,61,90,"6,914",287,"19,019","2,125",,"9,803","4,861",38,15,"4,721",372,,"19,810",2,TOTAL,"8,657",TOTAL
