county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,174,88,21,20,0,0,9,10,60,10844,23760,56,57,9245,770,"44,732",35,2308,1,,,
ANNE ARUNDEL,2106,992,195,143,3,0,136,60,537,173577,130947,491,301,109337,6636,"421,289",183,25562,1,,,
BALTIMORE CITY,2834,1555,276,72,2,2,124,58,534,301232,30222,813,497,68866,6795,"408,425",124,15096,1,,,
BALTIMORE CO.,3042,1732,330,158,4,1,160,74,727,308769,141760,779,490,125121,10207,"587,126",363,18465,1,,,
CALVERT,258,144,41,22,1,0,17,8,89,23491,29075,67,41,17214,1153,"71,041",96,3218,1,,,
CAROLINE,120,56,9,3,0,0,14,4,30,5994,11298,29,27,5133,378,"22,859",21,938,1,,,
CARROLL,571,254,38,42,0,0,36,20,136,33187,64712,147,71,31506,2086,"131,709",59,5414,1,,,
CECIL,299,183,29,22,0,0,18,9,78,18984,36108,81,82,17806,1324,"74,385",147,3929,1,,,
CHARLES,569,353,75,28,0,1,40,14,158,77021,23798,131,111,26624,1671,"129,356",69,6264,1,,,
DORCHESTER,106,54,7,4,0,0,4,1,16,9485,9704,18,29,4519,385,"24,140",38,781,1,,,
FREDERICK,1283,470,117,91,0,0,84,37,329,79476,69802,256,140,56751,2915,"209,340",346,10839,1,,,
GARRETT,53,32,6,5,0,1,4,1,17,3428,14130,18,14,3234,296,"21,120",3,847,1,,,
HARFORD,937,427,76,72,1,0,54,45,248,64636,82706,184,168,47102,3418,"198,214",296,8882,1,,,
HOWARD,1037,573,117,57,1,0,70,31,276,123509,48902,316,96,66163,3477,"242,463",214,9851,1,,,
KENT,55,27,5,8,1,0,3,4,21,5682,5563,14,14,2911,211,"14,395",9,533,1,,,
MONTGOMERY,3146,2350,546,200,6,4,245,101,"1,102",408168,102206,990,319,183845,9755,"705,283",1993,46560,1,,,
PR. GEORGE'S,2782,1713,370,76,1,0,137,89,673,461363,42612,762,458,108613,14188,"627,996",3319,47108,1,,,
QUEEN ANNE'S,208,68,12,16,0,0,6,8,42,11330,20999,49,28,9324,613,"42,343",31,1187,1,,,
ST. MARY'S,350,178,27,20,2,0,18,19,86,25036,33711,69,62,18913,1270,"79,061",68,5115,1,,,
SOMERSET,70,30,1,2,1,0,3,1,8,5345,6395,17,18,2669,240,"14,684",15,373,1,,,
TALBOT,118,52,10,8,0,0,8,3,29,10412,11714,22,10,6142,440,"28,740",39,2402,1,,,
WASHINGTON,499,274,41,36,2,0,22,8,109,30646,45480,142,113,25238,1676,"103,295",63,7270,1,,,
WICOMICO,287,160,26,21,0,0,21,15,83,26179,24808,80,83,15841,1277,"68,268",35,3275,1,,,
WORCESTER,200,68,18,10,1,0,17,5,51,13567,20234,44,27,9554,806,"44,232",26,2760,1,,,
TOTAL,"21,104","11,833","2,393","1,136",26,9,"1,250",625,"5,439","2,231,361","1,030,646","5,575","3,256","971,671","71,987","4,314,496","7,592","228,977",1,,,
,,REP,,GRN,WCP,UNA,OTH,TOTAL,DUPS,,DEM,REP,GRN,WCP,UNA,OTH,,TOTAL,2,,DEM,
,,0,,0,0,1,0,3,4,,2,0,0,0,1,0,,3,2,ABSENTEE BALLOT (FPCA),2,BOARD ACTION
,,50,,0,0,58,3,232,119,,"2,234",639,8,4,"1,010",90,,"3,985",2,BY MAIL,121,CONFIRMATION MAIL
,,107,,0,3,195,8,606,35,,3527,1300,15,5,1635,121,,"6,603",2,DESIGNATED STATE AGENCIES,293,COUNTY TRANSFER - OUT
,,17,,0,1,51,6,136,0,,64,10,0,0,21,6,,101,2,ELDERLY / DISABLED / SOC SEC,61,CRIMINAL CONVICTION
,,0,,0,0,0,0,0,4,,2267,1027,1,0,518,57,,"3,870",2,ERIC REPORT,0,DEATH NOTICE
,,0,,0,0,0,0,0,0,,119,33,1,0,34,2,,189,2,FROM ANOTHER BOARD,0,DUPLICATE
,,2,,0,0,0,0,2,1,,0,0,0,0,0,0,,0,2,PROVISIONAL BALLOT,0,MAIL VERIFICATION (NVRA)
,,0,,0,0,1,0,9,3,,0,0,0,0,0,0,,0,2,IN PERSON,8,MENTAL INCOMPETENCY
,,2819,,50,98,6785,265,"18,383",347,,220,94,1,1,84,12,,412,2,MOTOR VEHICLE ADMINISTRATION,8366,MOVED OUT OF STATE
,,1,,0,0,3,0,8,1,,41,14,0,0,33,7,,95,2,NVRA BY MAIL,4,OTHER
,,46,,0,3,106,3,378,7,,60,48,1,0,45,6,,160,2,ONLINE REGISTRATION,220,VOTER REQUEST
,,15,,0,2,33,1,113,18,,,,,,,,,,2,OTHER MEANS,62,
,,0,,0,0,0,0,0,1,,,,,,,,,,2,RECRUITING,0,
,,0,,0,0,2,0,3,13,,,,,,,,,,2,SAME DAY REGISTRATION,1,
,,0,,0,0,0,0,1,0,,,,,,,,,,2,SOCIAL SERVICES,1,
,,2,,0,0,15,0,25,0,,,,,,,,,,2,VOLUNTEER,8,
,,"3,059",,50,107,"7,250",286,"19,899",553,,"8,534","3,165",27,10,"3,381",301,,"15,418",2,TOTAL,"9,147",TOTAL
