summary,new_registration_by_party,none,none_2,none_3,none_4,none_5,none_6,none_7,removals,none_8,none_9,none_10,none_11,none_12,none_13,none_14,source_page,county,changes,party_affiliation_from,total_active_registration,activity
,DEM,REP,NLM,LIB,UNAF,OTH,TOTAL,DUPS,,DEM,REP,NLM,LIB,UNAF,OTH,TOTAL,1,,,,,
ABSENTEE BALLOT (FPCA),98,30,0,0,10,0,138,95,BOARD ACTION,0,0,0,0,0,0,0,1,,,,,
BY MAIL,502,199,0,2,96,9,808,"1,802",CONFIRMATION MAIL,33,13,0,0,4,1,51,1,,,,,
DESIGNATED STATE AGENCIES,254,76,0,0,190,13,533,59,COUNTY TRANSFER - OUT,"3,921","1,133",0,51,"1,435",93,"6,633",1,,,,,
ELDERLY / DISABLED / SOC SEC,177,79,1,7,105,9,378,4,CRIMINAL CONVICTION,15,3,0,0,7,1,26,1,,,,,
ERIC REPORT,1,0,0,0,0,1,2,23,DEATH NOTICE,"2,461","1,198",0,6,493,65,"4,223",1,,,,,
FROM ANOTHER BOARD,0,0,0,0,0,0,0,0,DUPLICATE,126,62,0,1,38,5,232,1,,,,,
PROVISIONAL BALLOT,0,0,0,0,0,0,0,0,MAIL VERIFICATION (NVRA),"4,952","2,377",0,16,900,58,"8,303",1,,,,,
IN PERSON,25,11,0,0,10,0,46,2,MENTAL INCOMPETENCY,0,0,0,0,0,0,0,1,,,,,
MOTOR VEHICLE ADMINISTRATION,6824,2833,0,114,6127,285,"16,183",603,MOVED OUT OF STATE,320,140,0,3,71,6,540,1,,,,,
NVRA BY MAIL,14,6,0,0,8,1,29,3,OTHER,61,12,0,2,34,9,118,1,,,,,
ONLINE REGISTRATION,782,367,17,14,449,13,"1,642",9,VOTER REQUEST,74,39,0,1,25,2,141,1,,,,,
OTHER MEANS,315,55,0,2,127,11,510,69,,,,,,,,,1,,,,,
RECRUITING,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,
SAME DAY REGISTRATION,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,
SOCIAL SERVICES,1,0,0,0,1,0,2,0,,,,,,,,,1,,,,,
VOLUNTEER,66,21,0,1,44,3,135,0,,,,,,,,,1,,,,,
TOTAL,"9,059","3,677",18,140,"7,167",345,"20,406","2,669",TOTAL,"11,963","4,977",0,80,"3,007",240,"20,267",1,,,,,
,,NAME,REP,NLM,LIB,UNAF,OTH,TOTAL,,REP,NLM,LIB,UNAF,OTH,TOTAL,INACTIVE,2,,ADDRESS,DEM,DEM,"CONF
MAILING"
,,122,26,0,2,27,6,110,,22584,0,260,8940,570,"43,318",3615,2,ALLEGANY,245,49,10964,56
,,2224,309,2,13,248,42,"1,230",,128754,7,2472,104664,4312,"412,842",34232,2,ANNE ARUNDEL,2141,616,172633,2702
,,2043,90,0,4,102,27,634,,28148,9,1158,61422,5844,"392,010",26232,2,BALTIMORE CITY,3171,411,295429,78
,,4659,434,0,15,281,74,"1,908",,136855,16,2659,116837,7849,"570,881",33707,2,BALTIMORE CO.,3305,"1,104",306665,496
,,343,48,0,6,52,9,202,,27960,2,462,16321,734,"68,927",5688,2,CALVERT,258,87,23448,168
,,84,12,0,0,13,3,52,,10680,1,126,4852,261,"21,990",1471,2,CAROLINE,111,24,6070,34
,,605,121,0,2,62,12,358,,63402,1,859,30203,1345,"128,972",7151,2,CARROLL,587,161,33162,194
,,419,49,0,10,179,13,610,,33267,1,483,17611,929,"71,975",5786,2,CECIL,318,359,19684,205
,,659,56,0,1,49,9,295,,22907,3,442,24136,1209,"123,444",10310,2,CHARLES,621,180,74747,21
,,100,9,0,0,13,5,57,,9191,0,112,4177,259,"23,241",1084,2,DORCHESTER,143,30,9502,4
,,1513,189,0,6,136,24,764,,67799,8,1233,52608,1729,"200,878",15300,2,FREDERICK,1172,409,77501,83
,,68,9,0,1,10,2,38,,13672,0,111,3069,207,"20,604",1267,2,GARRETT,82,16,3545,895
,,1013,157,0,6,104,34,632,,80394,2,1244,44372,2231,"192,666",12988,2,HARFORD,993,331,64423,896
,,1446,215,1,5,141,38,811,,48118,8,964,61380,2504,"234,174",15225,2,HOWARD,1097,411,121200,431
,,66,7,0,1,8,3,33,,5266,0,69,2761,144,"14,012",857,2,KENT,70,14,5772,7
,,8418,668,1,48,784,169,"3,980",,97384,9,2331,169295,7198,"682,348",67109,2,MONTGOMERY,4963,"2,310",406131,217
,,5566,191,1,11,310,110,"2,015",,38016,15,1511,95630,12464,"601,351",43298,2,PR. GEORGE'S,3927,"1,392",453715,233
,,127,30,0,2,15,3,105,,20007,1,232,8777,394,"40,460",2215,2,QUEEN ANNE'S,201,55,11049,5
,,383,46,1,7,73,11,243,,31794,2,483,17789,841,"75,620",8050,2,ST. MARY'S,389,105,24711,114
,,39,6,0,0,2,0,27,,6122,0,65,2493,166,"14,293",544,2,SOMERSET,64,19,5447,3
,,126,16,0,1,14,3,63,,11592,0,155,6012,276,"28,575",1750,2,TALBOT,132,29,10540,135
,,464,57,0,4,58,10,229,,44050,1,646,23632,1167,"100,319",11179,2,WASHINGTON,532,100,30823,783
,,262,38,0,3,15,6,141,,23972,2,357,14667,901,"66,199",4664,2,WICOMICO,344,79,26300,142
,,176,37,0,2,27,7,125,,19463,1,230,9011,570,"42,853",3075,2,WORCESTER,247,52,13578,96
,,"30,925","2,820",6,150,"2,723",620,"14,662",,"991,397",89,"18,664","900,659","54,104","4,171,952","316,797",2,TOTAL,"25,113","8,343","2,207,039","7,998"
