county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,total_active_registration,none_8,none_9,none_10,none_11,none_12,none_13,activity,none_14,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,DEM,REP,GRN,WCP,UNA,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,370,71,13,14,1,0,12,7,47,10847,23738,57,58,9272,767,"44,739",221,2376,1,,,
ANNE ARUNDEL,4034,1033,198,172,1,2,313,73,759,173820,130940,497,307,109658,6758,"421,980",6206,25666,1,,,
BALTIMORE CITY,4564,1321,241,50,3,1,95,49,439,301189,30230,815,512,69299,6802,"408,847",5919,15036,1,,,
BALTIMORE CO.,5173,1596,324,153,4,2,163,66,712,308952,141702,788,517,125736,10195,"587,890",2405,18542,1,,,
CALVERT,550,144,32,14,0,0,23,12,81,23508,29119,67,45,17306,1153,"71,198",521,3207,1,,,
CAROLINE,166,33,9,7,0,0,5,0,21,5985,11304,29,27,5147,380,"22,872",133,956,1,,,
CARROLL,880,213,53,42,1,1,35,21,153,33158,64626,149,74,31558,2072,"131,637",725,5708,1,,,
CECIL,426,155,30,41,2,0,15,11,99,18998,36136,80,91,17918,1318,"74,541",900,3914,1,,,
CHARLES,1040,267,66,28,1,0,31,10,136,77255,23833,131,117,26813,1675,"129,824",1383,6240,1,,,
DORCHESTER,203,42,10,7,0,0,13,6,36,9497,9714,19,29,4536,384,"24,179",105,772,1,,,
FREDERICK,1823,455,97,61,2,1,96,21,278,79567,69837,263,149,56936,2914,"209,666",1657,11073,1,,,
GARRETT,94,32,3,6,0,0,2,5,16,3436,14129,18,14,3261,296,"21,154",121,845,1,,,
HARFORD,1568,401,99,56,1,0,70,23,249,64693,82773,187,170,47293,3423,"198,539",788,9023,1,,,
HOWARD,2026,486,117,65,2,0,74,29,287,123669,48830,317,101,66504,3473,"242,894",1572,9880,1,,,
KENT,101,25,7,1,0,0,4,2,14,5684,5582,14,14,2938,211,"14,443",70,536,1,,,
MONTGOMERY,5908,1886,391,159,7,1,238,63,859,408388,102059,993,336,184574,9747,"706,097",10478,46953,1,,,
PR. GEORGE'S,4219,1117,283,62,4,1,94,51,495,461170,42591,768,473,109164,14191,"628,357",8266,47308,1,,,
QUEEN ANNE'S,319,80,19,17,0,0,8,7,51,11367,21008,50,28,9382,618,"42,453",234,1181,1,,,
ST. MARY'S,650,160,35,21,0,0,12,10,78,25056,33744,72,64,19035,1269,"79,240",658,5092,1,,,
SOMERSET,108,29,2,3,1,0,1,2,9,5362,6405,16,19,2695,240,"14,737",57,378,1,,,
TALBOT,203,53,11,8,0,0,11,6,36,10421,11701,22,12,6157,436,"28,749",144,2467,1,,,
WASHINGTON,836,199,37,29,1,1,19,13,100,30704,45519,145,113,25402,1671,"103,554",691,7247,1,,,
WICOMICO,625,139,31,18,0,1,17,13,80,26186,24811,81,87,15925,1276,"68,366",1206,3288,1,,,
WORCESTER,298,79,13,15,0,0,11,4,43,13564,20279,46,27,9601,805,"44,322",415,2752,1,,,
TOTAL,"36,184","10,016","2,121","1,049",31,11,"1,362",504,"5,078","2,232,476","1,030,610","5,624","3,384","976,110","72,074","4,320,278","44,875","230,440",1,,,
,,REP,,GRN,WCP,UNA,OTH,TOTAL,DUPS,,DEM,REP,GRN,WCP,UNA,OTH,,TOTAL,2,,DEM,
,,0,,0,0,0,0,0,4,,0,0,0,0,0,0,,0,2,ABSENTEE BALLOT (FPCA),0,BOARD ACTION
,,45,,0,0,53,6,191,46,,1243,683,4,5,792,66,,"2,793",2,BY MAIL,87,CONFIRMATION MAIL
,,29,,0,0,115,7,278,34,,5806,2110,17,11,2847,250,,"11,041",2,DESIGNATED STATE AGENCIES,127,COUNTY TRANSFER - OUT
,,17,,2,1,44,2,116,1,,32,5,0,0,16,1,,54,2,ELDERLY / DISABLED / SOC SEC,50,CRIMINAL CONVICTION
,,1074,,9,7,1524,126,"5,864",5,,1622,882,3,3,378,35,,"2,923",2,ERIC REPORT,3124,DEATH NOTICE
,,0,,0,0,0,0,0,0,,61,14,1,0,21,2,,99,2,FROM ANOTHER BOARD,0,DUPLICATE
,,0,,0,0,0,0,1,1,,1,0,0,0,0,0,,1,2,PROVISIONAL BALLOT,1,MAIL VERIFICATION (NVRA)
,,1,,1,0,5,0,21,4,,0,0,0,0,0,0,,0,2,IN PERSON,14,MENTAL INCOMPETENCY
,,2447,,42,80,5614,223,"15,076",260,,100,106,0,0,47,1,,254,2,MOTOR VEHICLE ADMINISTRATION,6670,MOVED OUT OF STATE
,,1,,0,0,2,0,8,0,,47,10,2,1,42,5,,107,2,NVRA BY MAIL,5,OTHER
,,33,,2,1,95,3,322,3,,64,47,1,0,26,4,,142,2,ONLINE REGISTRATION,188,VOTER REQUEST
,,4,,0,0,11,1,41,13,,,,,,,,,,2,OTHER MEANS,25,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,RECRUITING,0,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,SAME DAY REGISTRATION,0,
,,0,,0,0,0,0,0,0,,,,,,,,,,2,SOCIAL SERVICES,0,
,,6,,0,0,8,0,20,0,,,,,,,,,,2,VOLUNTEER,6,
,,"3,657",,56,89,"7,471",368,"21,938",371,,"8,976","3,857",28,20,"4,169",364,,"17,414",2,TOTAL,"10,297",TOTAL
