year,month,county,party,registered,source_url
2024,1,CHARLES,Working Class,440,local://MSR-2024_01.pdf
2024,1,DORCHESTER,Working Class,113,local://MSR-2024_01.pdf
2024,1,FREDERICK,Working Class,1220,local://MSR-2024_01.pdf
2024,1,GARRETT,Working Class,114,local://MSR-2024_01.pdf
2024,1,HARFORD,Working Class,1238,local://MSR-2024_01.pdf
2024,1,HOWARD,Working Class,955,local://MSR-2024_01.pdf
2024,1,KENT,Working Class,66,local://MSR-2024_01.pdf
2024,1,MONTGOMERY,Working Class,2290,local://MSR-2024_01.pdf
2024,1,PR. GEORGE'S,Working Class,1487,local://MSR-2024_01.pdf
2024,1,QUEEN ANNE'S,Working Class,230,local://MSR-2024_01.pdf
2024,1,ST. MARY'S,Working Class,488,local://MSR-2024_01.pdf
2024,1,SOMERSET,Working Class,66,local://MSR-2024_01.pdf
2024,1,TALBOT,Working Class,155,local://MSR-2024_01.pdf
2024,1,WASHINGTON,Working Class,642,local://MSR-2024_01.pdf
2024,1,WICOMICO,Working Class,358,local://MSR-2024_01.pdf
2024,1,WORCESTER,Working Class,230,local://MSR-2024_01.pdf
2024,1,ALLEGANY,Unaffiliated,8886,local://MSR-2024_01.pdf
2024,1,ANNE ARUNDEL,Unaffiliated,103905,local://MSR-2024_01.pdf
2024,1,BALTIMORE CITY,Unaffiliated,61252,local://MSR-2024_01.pdf
2024,1,BALTIMORE CO.,Unaffiliated,115864,local://MSR-2024_01.pdf
2024,1,CALVERT,Unaffiliated,16222,local://MSR-2024_01.pdf
2024,1,CAROLINE,Unaffiliated,4843,local://MSR-2024_01.pdf
2024,1,CARROLL,Unaffiliated,30051,local://MSR-2024_01.pdf
2024,1,CECIL,Unaffiliated,17619,local://MSR-2024_01.pdf
2024,1,CHARLES,Unaffiliated,23894,local://MSR-2024_01.pdf
2024,1,DORCHESTER,Unaffiliated,4144,local://MSR-2024_01.pdf
2024,1,FREDERICK,Unaffiliated,52074,local://MSR-2024_01.pdf
2024,1,GARRETT,Unaffiliated,3048,local://MSR-2024_01.pdf
2024,1,HARFORD,Unaffiliated,43971,local://MSR-2024_01.pdf
2024,1,HOWARD,Unaffiliated,60900,local://MSR-2024_01.pdf
2024,1,KENT,Unaffiliated,2748,local://MSR-2024_01.pdf
2024,1,MONTGOMERY,Unaffiliated,166632,local://MSR-2024_01.pdf
2024,1,PR. GEORGE'S,Unaffiliated,94187,local://MSR-2024_01.pdf
2024,1,QUEEN ANNE'S,Unaffiliated,8725,local://MSR-2024_01.pdf
2024,1,ST. MARY'S,Unaffiliated,17644,local://MSR-2024_01.pdf
2024,1,SOMERSET,Unaffiliated,2464,local://MSR-2024_01.pdf
2024,1,TALBOT,Unaffiliated,6005,local://MSR-2024_01.pdf
2024,1,WASHINGTON,Unaffiliated,23464,local://MSR-2024_01.pdf
2024,1,WICOMICO,Unaffiliated,14530,local://MSR-2024_01.pdf
2024,1,WORCESTER,Unaffiliated,8965,local://MSR-2024_01.pdf
2024,1,ALLEGANY,Other,568,local://MSR-2024_01.pdf
2024,1,ANNE ARUNDEL,Other,4276,local://MSR-2024_01.pdf
2024,1,BALTIMORE CITY,Other,5853,local://MSR-2024_01.pdf
2024,1,BALTIMORE CO.,Other,7812,local://MSR-2024_01.pdf
2024,1,CALVERT,Other,730,local://MSR-2024_01.pdf
2024,1,CAROLINE,Other,257,local://MSR-2024_01.pdf
2024,1,CARROLL,Other,1336,local://MSR-2024_01.pdf
2024,1,CECIL,Other,928,local://MSR-2024_01.pdf
2024,1,CHARLES,Other,1197,local://MSR-2024_01.pdf
2024,1,DORCHESTER,Other,259,local://MSR-2024_01.pdf
2024,1,FREDERICK,Other,1736,local://MSR-2024_01.pdf
2024,1,GARRETT,Other,203,local://MSR-2024_01.pdf
2024,1,HARFORD,Other,2217,local://MSR-2024_01.pdf
2024,1,HOWARD,Other,2502,local://MSR-2024_01.pdf
2024,1,KENT,Other,146,local://MSR-2024_01.pdf
2024,1,MONTGOMERY,Other,7136,local://MSR-2024_01.pdf
2024,1,PR. GEORGE'S,Other,12405,local://MSR-2024_01.pdf
2024,1,QUEEN ANNE'S,Other,395,local://MSR-2024_01.pdf
2024,1,ST. MARY'S,Other,834,local://MSR-2024_01.pdf
2024,1,SOMERSET,Other,163,local://MSR-2024_01.pdf
2024,1,TALBOT,Other,280,local://MSR-2024_01.pdf
2024,1,WASHINGTON,Other,1150,local://MSR-2024_01.pdf
2024,1,WICOMICO,Other,896,local://MSR-2024_01.pdf
2024,1,WORCESTER,Other,568,local://MSR-2024_01.pdf
2024,2,ALLEGANY,Democratic,10964,local://MSR-2024_02.pdf
2024,2,ANNE ARUNDEL,Democratic,172633,local://MSR-2024_02.pdf
2024,2,BALTIMORE CITY,Democratic,295429,local://MSR-2024_02.pdf
2024,2,BALTIMORE CO.,Democratic,306665,local://MSR-2024_02.pdf
2024,2,CALVERT,Democratic,23448,local://MSR-2024_02.pdf
2024,2,CAROLINE,Democratic,6070,local://MSR-2024_02.pdf
2024,2,CARROLL,Democratic,33162,local://MSR-2024_02.pdf
2024,2,CECIL,Democratic,19684,local://MSR-2024_02.pdf
2024,2,CHARLES,Democratic,74747,local://MSR-2024_02.pdf
2024,2,DORCHESTER,Democratic,9502,local://MSR-2024_02.pdf
2024,2,FREDERICK,Democratic,77501,local://MSR-2024_02.pdf
2024,2,GARRETT,Democratic,3545,local://MSR-2024_02.pdf
2024,2,HARFORD,Democratic,64423,local://MSR-2024_02.pdf
2024,2,HOWARD,Democratic,121200,local://MSR-2024_02.pdf
2024,2,KENT,Democratic,5772,local://MSR-2024_02.pdf
2024,2,MONTGOMERY,Democratic,406131,local://MSR-2024_02.pdf
2024,2,PR. GEORGE'S,Democratic,453715,local://MSR-2024_02.pdf
2024,2,QUEEN ANNE'S,Democratic,11049,local://MSR-2024_02.pdf
2024,2,ST. MARY'S,Democratic,24711,local://MSR-2024_02.pdf
2024,2,SOMERSET,Democratic,5447,local://MSR-2024_02.pdf
2024,2,TALBOT,Democratic,10540,local://MSR-2024_02.pdf
2024,2,WASHINGTON,Democratic,30823,local://MSR-2024_02.pdf
2024,2,WICOMICO,Democratic,26300,local://MSR-2024_02.pdf
2024,2,WORCESTER,Democratic,13578,local://MSR-2024_02.pdf
2024,2,ALLEGANY,Republican,22584,local://MSR-2024_02.pdf
2024,2,ANNE ARUNDEL,Republican,128754,local://MSR-2024_02.pdf
2024,2,BALTIMORE CITY,Republican,28148,local://MSR-2024_02.pdf
2024,2,BALTIMORE CO.,Republican,136855,local://MSR-2024_02.pdf
2024,2,CALVERT,Republican,27960,local://MSR-2024_02.pdf
2024,2,CAROLINE,Republican,10680,local://MSR-2024_02.pdf
2024,2,CARROLL,Republican,63402,local://MSR-2024_02.pdf
2024,2,CECIL,Republican,33267,local://MSR-2024_02.pdf
2024,2,CHARLES,Republican,22907,local://MSR-2024_02.pdf
2024,2,DORCHESTER,Republican,9191,local://MSR-2024_02.pdf
2024,2,FREDERICK,Republican,67799,local://MSR-2024_02.pdf
2024,2,GARRETT,Republican,13672,local://MSR-2024_02.pdf
2024,2,HARFORD,Republican,80394,local://MSR-2024_02.pdf
2024,2,HOWARD,Republican,48118,local://MSR-2024_02.pdf
2024,2,KENT,Republican,5266,local://MSR-2024_02.pdf
2024,2,MONTGOMERY,Republican,97384,local://MSR-2024_02.pdf
2024,2,PR. GEORGE'S,Republican,38016,local://MSR-2024_02.pdf
2024,2,QUEEN ANNE'S,Republican,20007,local://MSR-2024_02.pdf
2024,2,ST. MARY'S,Republican,31794,local://MSR-2024_02.pdf
2024,2,SOMERSET,Republican,6122,local://MSR-2024_02.pdf
2024,2,TALBOT,Republican,11592,local://MSR-2024_02.pdf
2024,2,WASHINGTON,Republican,44050,local://MSR-2024_02.pdf
2024,2,WICOMICO,Republican,23972,local://MSR-2024_02.pdf
2024,2,WORCESTER,Republican,19463,local://MSR-2024_02.pdf
2024,2,ALLEGANY,Green,0,local://MSR-2024_02.pdf
2024,2,ANNE ARUNDEL,Green,7,local://MSR-2024_02.pdf
2024,2,BALTIMORE CITY,Green,9,local://MSR-2024_02.pdf
2024,2,BALTIMORE CO.,Green,16,local://MSR-2024_02.pdf
2024,2,CALVERT,Green,2,local://MSR-2024_02.pdf
2024,2,CAROLINE,Green,1,local://MSR-2024_02.pdf
2024,2,CARROLL,Green,1,local://MSR-2024_02.pdf
2024,2,CECIL,Green,1,local://MSR-2024_02.pdf
2024,2,CHARLES,Green,3,local://MSR-2024_02.pdf
2024,2,DORCHESTER,Green,0,local://MSR-2024_02.pdf
2024,2,FREDERICK,Green,8,local://MSR-2024_02.pdf
2024,2,GARRETT,Green,0,local://MSR-2024_02.pdf
2024,2,HARFORD,Green,2,local://MSR-2024_02.pdf
2024,2,HOWARD,Green,8,local://MSR-2024_02.pdf
2024,2,KENT,Green,0,local://MSR-2024_02.pdf
2024,2,MONTGOMERY,Green,9,local://MSR-2024_02.pdf
2024,2,PR. GEORGE'S,Green,15,local://MSR-2024_02.pdf
2024,2,QUEEN ANNE'S,Green,1,local://MSR-2024_02.pdf
2024,2,ST. MARY'S,Green,2,local://MSR-2024_02.pdf
2024,2,SOMERSET,Green,0,local://MSR-2024_02.pdf
2024,2,TALBOT,Green,0,local://MSR-2024_02.pdf
2024,2,WASHINGTON,Green,1,local://MSR-2024_02.pdf
2024,2,WICOMICO,Green,2,local://MSR-2024_02.pdf
2024,2,WORCESTER,Green,1,local://MSR-2024_02.pdf
2024,2,ALLEGANY,Working Class,260,local://MSR-2024_02.pdf
2024,2,ANNE ARUNDEL,Working Class,2472,local://MSR-2024_02.pdf
2024,2,BALTIMORE CITY,Working Class,1158,local://MSR-2024_02.pdf
2024,2,BALTIMORE CO.,Working Class,2659,local://MSR-2024_02.pdf
2024,2,CALVERT,Working Class,462,local://MSR-2024_02.pdf
2024,2,CAROLINE,Working Class,126,local://MSR-2024_02.pdf
2024,2,CARROLL,Working Class,859,local://MSR-2024_02.pdf
2024,2,CECIL,Working Class,483,local://MSR-2024_02.pdf
2024,2,CHARLES,Working Class,442,local://MSR-2024_02.pdf
2024,2,DORCHESTER,Working Class,112,local://MSR-2024_02.pdf
2024,2,FREDERICK,Working Class,1233,local://MSR-2024_02.pdf
2024,2,GARRETT,Working Class,111,local://MSR-2024_02.pdf
