year,month,county,party,registered,source_url
2025,2,TOTAL,Republican,1031316,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,ALLEGANY,Green,52,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,ANNE ARUNDEL,Green,455,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,BALTIMORE CITY,Green,754,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,BALTIMORE CO.,Green,743,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CALVERT,Green,61,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CAROLINE,Green,25,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CARROLL,Green,140,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CECIL,Green,74,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CHARLES,Green,121,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,DORCHESTER,Green,19,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,FREDERICK,Green,233,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,GARRETT,Green,16,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,HARFORD,Green,160,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,HOWARD,Green,295,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,KENT,Green,14,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,MONTGOMERY,Green,913,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,PR. GEORGE'S,Green,705,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,QUEEN ANNE'S,Green,47,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,ST. MARY'S,Green,68,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,SOMERSET,Green,16,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,TALBOT,Green,21,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,WASHINGTON,Green,128,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,WICOMICO,Green,71,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,WORCESTER,Green,44,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,TOTAL,Green,5175,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,ALLEGANY,Working Class,55,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,ANNE ARUNDEL,Working Class,243,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,BALTIMORE CITY,Working Class,413,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,BALTIMORE CO.,Working Class,409,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CALVERT,Working Class,35,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CAROLINE,Working Class,23,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CARROLL,Working Class,64,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CECIL,Working Class,74,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CHARLES,Working Class,90,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,DORCHESTER,Working Class,23,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,FREDERICK,Working Class,113,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,GARRETT,Working Class,14,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,HARFORD,Working Class,132,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,HOWARD,Working Class,75,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,KENT,Working Class,10,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,MONTGOMERY,Working Class,253,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,PR. GEORGE'S,Working Class,349,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
